timestamp,x,y,frame_no,frame_count,confidence,detection_method,camera
16316.666666666666,1074,535,980,980,0.6288474407771745,BG,2
16333.333333333332,1081,532,981,981,0.6188143483889068,BG,2
16333.333333333332,727,562,981,981,0.6067945690636987,BG,1
16350.000000000002,1087,529,982,982,0.6863827700137785,BG,2
16350.000000000002,720,559,982,982,0.7545745818520151,BG,1
16366.666666666668,917,501,983,983,0.6430287075658971,BG,2
16366.666666666668,712,555,983,983,0.6088504629820921,BG,1
16383.333333333332,1099,524,984,984,0.5516314248743555,BG,2
16383.333333333332,704,553,984,984,0.5901166025826431,BG,1
16400.0,703,552,985,985,0.4,LK,1
16400.0,1105,522,985,985,0.6935989106655485,BG,2
16416.666666666668,932,498,986,986,0.7785730219145969,BG,2
16416.666666666668,689,548,986,986,0.606874058814728,BG,1
